,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,geometry,osm_editor_link
130,6631,01VA,small_airport,Pickles Airport,39.125,-77.9250030518,500.0,,US,US-VA,Berryville,no,01VA,,01VA,,,,POINT (-77.9250030518 39.125),https://www.openstreetmap.org/edit?editor=id#map=18/39.125000/-77.925003
140,6638,02AL,small_airport,Bass Field,30.37150001525879,-87.76439666748047,61.0,,US,US-AL,Foley,no,02AL,,02AL,,,,POINT (-87.76439666748047 30.37150001525879),https://www.openstreetmap.org/edit?editor=id#map=18/30.371500/-87.764397
141,529870,02AN,small_airport,Emerald Ridge Airport,59.704223,-151.295869,222.0,,US,US-AK,Homer,no,02AN,,02AN,,,,POINT (-151.29586899999998 59.70422299999999),https://www.openstreetmap.org/edit?editor=id#map=18/59.704223/-151.295869
166,322099,02MD,small_airport,Garner Field,38.672544,-76.709739,141.0,,US,US-MD,Brandywine,no,02MD,,02MD,,,,POINT (-76.709739 38.672543999999995),https://www.openstreetmap.org/edit?editor=id#map=18/38.672544/-76.709739
170,6664,02MO,small_airport,Troy Airpark,39.04999923706055,-91.03350067138672,650.0,,US,US-MO,Troy,no,02MO,,02MO,,,,POINT (-91.0335006713867 39.04999923706054),https://www.openstreetmap.org/edit?editor=id#map=18/39.049999/-91.033501
175,6668,02NE,small_airport,Benes Service Airport,41.074501037597656,-96.90450286865234,1550.0,,US,US-NE,Valparaiso,no,02NE,,02NE,,,,POINT (-96.90450286865234 41.07450103759765),https://www.openstreetmap.org/edit?editor=id#map=18/41.074501/-96.904503
178,526225,02NM,small_airport,FFR Animas Landing Strip,32.09071,-108.870735,4240.0,,US,US-NM,Animas,no,02NM,,02NM,,,,POINT (-108.87073499999998 32.090709999999994),https://www.openstreetmap.org/edit?editor=id#map=18/32.090710/-108.870735
182,6673,02OH,small_airport,Zimmerman Airport,41.37639999389648,-83.08329772949219,614.0,,US,US-OH,Fremont,no,02OH,,02OH,,,,POINT (-83.08329772949219 41.376399993896484),https://www.openstreetmap.org/edit?editor=id#map=18/41.376400/-83.083298
183,6674,02OI,small_airport,Murtha Airport,41.801998138427734,-80.56539916992188,950.0,,US,US-OH,Conneaut,no,02OI,,02OI,,,,POINT (-80.56539916992186 41.80199813842773),https://www.openstreetmap.org/edit?editor=id#map=18/41.801998/-80.565399
186,6676,02OR,small_airport,Rowena Dell Airport,45.68149948120117,-121.31600189208984,705.0,,US,US-OR,The Dalles,no,02OR,,02OR,,,,POINT (-121.31600189208984 45.68149948120117),https://www.openstreetmap.org/edit?editor=id#map=18/45.681499/-121.316002
205,330393,02XA,small_airport,JLS Farms Airport,33.591319,-95.882864,675.0,,US,US-TX,Honey Grove,no,02XA,,02XA,,,,POINT (-95.882864 33.591319),https://www.openstreetmap.org/edit?editor=id#map=18/33.591319/-95.882864
208,6696,03AK,seaplane_base,Joe Clouds Seaplane Base,60.72722244262695,-151.13278198242188,150.0,,US,US-AK,Kenai,no,03AK,,03AK,,,,POINT (-151.13278198242185 60.72722244262694),https://www.openstreetmap.org/edit?editor=id#map=18/60.727222/-151.132782
217,322717,03GA,small_airport,HIA Airport,32.561626,-81.85509,238.0,,US,US-GA,Statesboro,no,03GA,,03GA,,,,POINT (-81.85509 32.56162599999998),https://www.openstreetmap.org/edit?editor=id#map=18/32.561626/-81.855090
227,6713,03KY,small_airport,Flying H Farms Airport,37.796085,-87.53859,385.0,,US,US-KY,Henderson,no,03KY,,03KY,,,,POINT (-87.53859 37.796085),https://www.openstreetmap.org/edit?editor=id#map=18/37.796085/-87.538590
243,6728,03NE,small_airport,Hyde Ranch Airport,41.5463981628418,-99.3311996459961,2430.0,,US,US-NE,Comstock,no,03NE,,03NE,,,,POINT (-99.3311996459961 41.5463981628418),https://www.openstreetmap.org/edit?editor=id#map=18/41.546398/-99.331200
249,6732,03NY,small_airport,Talmage Field,40.958308,-72.717326,95.0,,US,US-NY,Riverhead,no,03NY,,03NY,,,,POINT (-72.71732599999999 40.958308),https://www.openstreetmap.org/edit?editor=id#map=18/40.958308/-72.717326
252,6735,03OK,small_airport,Sahoma Lake Airport,36.041259,-96.161517,890.0,,US,US-OK,Sapulpa,no,03OK,,03OK,,,,POINT (-96.16151699999999 36.041259),https://www.openstreetmap.org/edit?editor=id#map=18/36.041259/-96.161517
253,348548,03OL,small_airport,Bluebird Airport,35.012334,-97.702735,1232.0,,US,US-OK,Alex,no,03OL,,03OL,,,,POINT (-97.702735 35.01233399999999),https://www.openstreetmap.org/edit?editor=id#map=18/35.012334/-97.702735
265,341551,03TT,small_airport,Brazos Polo Airport,29.632117,-95.932481,117.0,,US,US-TX,Orchard,no,03TT,,03TT,,,,POINT (-95.93248099999998 29.632116999999994),https://www.openstreetmap.org/edit?editor=id#map=18/29.632117/-95.932481
267,6747,03UT,small_airport,AZ Minerals Corporation Airport,37.114384,-109.99014,5315.0,,US,US-UT,Mexican Hat,no,03UT,,03UT,,,U23,POINT (-109.99014 37.114383999999994),https://www.openstreetmap.org/edit?editor=id#map=18/37.114384/-109.990140
275,325443,04AA,small_airport,Flying W Ranch Airport,60.535833,-150.811387,250.0,,US,US-AK,Soldotna,no,04AA,,04AA,,,Phil's Airport,POINT (-150.811387 60.53583299999999),https://www.openstreetmap.org/edit?editor=id#map=18/60.535833/-150.811387
277,509055,04AN,small_airport,North 40 Airport,61.737511,-148.700724,943.0,,US,US-AK,Sutton,no,04AN,,04AN,,,,POINT (-148.700724 61.737511),https://www.openstreetmap.org/edit?editor=id#map=18/61.737511/-148.700724
287,6762,04I,small_airport,Columbus Southwest Airport,39.91151,-83.188577,920.0,,US,US-OH,Columbus,no,K04I,,04I,,https://en.wikipedia.org/wiki/Columbus_Southwest_Airport,,POINT (-83.18857699999998 39.91151),https://www.openstreetmap.org/edit?editor=id#map=18/39.911510/-83.188577
311,6784,04NV,small_airport,Kingston Ranch Airport,35.7555007935,-115.665000916,2620.0,,US,US-NV,Sandy Valley,no,04NV,,04NV,,,,POINT (-115.66500091599998 35.75550079349999),https://www.openstreetmap.org/edit?editor=id#map=18/35.755501/-115.665001
316,6788,04OR,small_airport,Collins Landing Strip,44.7499008179,-120.200996399,1500.0,,US,US-OR,Mitchell,no,04OR,,04OR,,,,POINT (-120.200996399 44.74990081789999),https://www.openstreetmap.org/edit?editor=id#map=18/44.749901/-120.200996
325,342438,04TT,small_airport,4D Ranch Airport,29.713072,-99.545642,1550.0,,US,US-TX,Utopia,no,04TT,,04TT,,,,POINT (-99.545642 29.713072000000007),https://www.openstreetmap.org/edit?editor=id#map=18/29.713072/-99.545642
327,6797,04UT,small_airport,Navajo Mountain Airport,37.006689,-110.794701,6160.0,,US,US-UT,Navajo Mountain,no,04UT,,04UT,,,Naatsisʼáán,POINT (-110.79470099999999 37.006688999999994),https://www.openstreetmap.org/edit?editor=id#map=18/37.006689/-110.794701
337,334249,04XA,small_airport,Pecan Field,33.283933,-98.402861,1130.0,,US,US-TX,Jermyn,no,04XA,,04XA,,,,POINT (-98.402861 33.283933),https://www.openstreetmap.org/edit?editor=id#map=18/33.283933/-98.402861
341,514272,05AN,small_airport,Wetons Aerodrome,64.960472,-147.601092,795.0,,US,US-AK,Fox,no,05AN,,05AN,,,,POINT (-147.60109199999997 64.960472),https://www.openstreetmap.org/edit?editor=id#map=18/64.960472/-147.601092
358,6824,05IS,small_airport,Hardy Airport,39.72589874267578,-89.26399993896484,605.0,,US,US-IL,Mount Auburn,no,05IS,,05IS,,,,POINT (-89.26399993896483 39.72589874267577),https://www.openstreetmap.org/edit?editor=id#map=18/39.725899/-89.264000
360,346026,05KT,small_airport,High Point Farm Airport,38.187091,-84.93011,880.0,,US,US-KY,Frankfort,no,05KT,,05KT,,,,POINT (-84.93010999999998 38.187090999999995),https://www.openstreetmap.org/edit?editor=id#map=18/38.187091/-84.930110
378,537370,05NR,small_airport,Gary Fox Airport,36.168415,-79.276908,675.0,,US,US-NC,Mebane,no,05NR,,05NR,,,,POINT (-79.276908 36.168414999999996),https://www.openstreetmap.org/edit?editor=id#map=18/36.168415/-79.276908
379,324404,05NV,small_airport,Baker Ranches Airport,39.0311,-114.088219,5180.0,,US,US-NV,Baker,no,05NV,,05NV,,,,POINT (-114.08821899999998 39.0311),https://www.openstreetmap.org/edit?editor=id#map=18/39.031100/-114.088219
382,429744,05OH,small_airport,Eaglecrest Field,40.184513,-81.920564,968.0,,US,US-OH,Conesville,no,05OH,,05OH,,,,POINT (-81.92056399999998 40.184513),https://www.openstreetmap.org/edit?editor=id#map=18/40.184513/-81.920564
383,6841,05OI,small_airport,Dorlon Airpark,41.28839874267578,-81.96260070800781,830.0,,US,US-OH,Columbia Station,no,05OI,,05OI,,,,POINT (-81.96260070800781 41.28839874267578),https://www.openstreetmap.org/edit?editor=id#map=18/41.288399/-81.962601
385,6843,05OR,small_airport,Peacock Ranch Airport,45.44428,-117.34722,3500.0,,US,US-OR,Enterprise,no,05OR,,05OR,,,,POINT (-117.34722000000001 45.44427999999999),https://www.openstreetmap.org/edit?editor=id#map=18/45.444280/-117.347220
405,338864,06AA,small_airport,Twisted Sisters Airport,60.540256,-150.813827,260.0,,US,US-AK,Sterling,no,06AA,,06AA,,,,POINT (-150.813827 60.540255999999985),https://www.openstreetmap.org/edit?editor=id#map=18/60.540256/-150.813827
440,324414,06NV,small_airport,Silver Creek Airport,39.098333,-114.150277,5556.0,,US,US-NV,Baker,no,06NV,,06NV,,,,POINT (-114.15027699999999 39.098333),https://www.openstreetmap.org/edit?editor=id#map=18/39.098333/-114.150277
441,6895,06NY,small_airport,Murphy Field,42.836797,-76.437614,1100.0,,US,US-NY,Auburn,no,06NY,,06NY,,,,POINT (-76.437614 42.836797000000004),https://www.openstreetmap.org/edit?editor=id#map=18/42.836797/-76.437614
443,6897,06OH,small_airport,Hal Joy Airfield,41.50979995727539,-80.59120178222656,1160.0,,US,US-OH,Williamsfield,no,06OH,,06OH,,,,POINT (-80.59120178222656 41.50979995727538),https://www.openstreetmap.org/edit?editor=id#map=18/41.509800/-80.591202
446,6900,06OR,small_airport,Hayden Mountain Airport,45.4650993347168,-123.08000183105467,850.0,,US,US-OR,Forest Grove,no,06OR,,06OR,,,,POINT (-123.08000183105464 45.4650993347168),https://www.openstreetmap.org/edit?editor=id#map=18/45.465099/-123.080002
456,340868,06TT,small_airport,6 Mile Airpark,30.860024,-100.201996,2165.0,,US,US-TX,Fort McKavett,no,06TT,,06TT,,,,POINT (-100.20199599999998 30.860024),https://www.openstreetmap.org/edit?editor=id#map=18/30.860024/-100.201996
458,6910,06VA,small_airport,Mount Horeb Field,38.249000549316406,-78.85530090332031,1160.0,,US,US-VA,Grottoes,no,06VA,,06VA,,,,POINT (-78.8553009033203 38.249000549316406),https://www.openstreetmap.org/edit?editor=id#map=18/38.249001/-78.855301
462,350921,06XA,small_airport,J & W Windy Hill Airport,33.445914,-96.57079,784.0,,US,US-TX,Van Alstyne,no,06XA,,06XA,,,,POINT (-96.57079 33.445914),https://www.openstreetmap.org/edit?editor=id#map=18/33.445914/-96.570790
465,318194,07AA,small_airport,Pan Lake Strip Airport,61.695964,-149.954903,357.0,,US,US-AK,Willow,no,07AA,,07AA,,,"Frying Pan Lake, Rappin Rappe",POINT (-149.954903 61.695964),https://www.openstreetmap.org/edit?editor=id#map=18/61.695964/-149.954903
467,514275,07AN,small_airport,Bro Majors Airfield,62.825556,-149.910807,1408.0,,US,US-AK,Trapper Creek,no,07AN,,07AN,,,,POINT (-149.91080699999998 62.825556),https://www.openstreetmap.org/edit?editor=id#map=18/62.825556/-149.910807
479,6927,07GA,small_airport,Alcovy Airport,33.674263,-83.764637,750.0,,US,US-GA,Covington,no,07GA,,07GA,,,,POINT (-83.76463699999998 33.674262999999996),https://www.openstreetmap.org/edit?editor=id#map=18/33.674263/-83.764637
480,519833,07GE,small_airport,Pope Pate Field,31.555662,-83.27849,335.0,,US,US-GA,Ocilla,no,07GE,,07GE,,,,POINT (-83.27848999999999 31.555661999999998),https://www.openstreetmap.org/edit?editor=id#map=18/31.555662/-83.278490
481,6928,07I,seaplane_base,Lake Monroe Seaplane Base,39.05870056152344,-86.44609832763672,538.0,,US,US-IN,Bloomington,no,07I,,07I,,,,POINT (-86.44609832763672 39.05870056152344),https://www.openstreetmap.org/edit?editor=id#map=18/39.058701/-86.446098
482,355064,07IA,small_airport,Hoskins Landing,40.647888,-95.02135,971.0,,US,US-IA,Shambaugh,no,07IA,,07IA,,,,POINT (-95.02134999999998 40.647888),https://www.openstreetmap.org/edit?editor=id#map=18/40.647888/-95.021350
492,6938,07MD,small_airport,Baugher's Orchard Airport,39.608299255371094,-77.0519027709961,700.0,,US,US-MD,Westminster,no,07MD,,07MD,,,,POINT (-77.05190277099608 39.60829925537109),https://www.openstreetmap.org/edit?editor=id#map=18/39.608299/-77.051903
502,324410,07NV,small_airport,Border Line Farm Airport,39.102239,-114.053472,5120.0,,US,US-NV,Baker,no,07NV,,07NV,,,,POINT (-114.053472 39.102239),https://www.openstreetmap.org/edit?editor=id#map=18/39.102239/-114.053472
505,6950,07OK,small_airport,Pleasant Valley Airport,34.633399963378906,-99.03369903564452,1322.0,,US,US-OK,Snyder,no,07OK,,07OK,,,,POINT (-99.0336990356445 34.633399963378906),https://www.openstreetmap.org/edit?editor=id#map=18/34.633400/-99.033699
506,6951,07OR,small_airport,Bruce's Airport,45.42179870605469,-122.62000274658205,250.0,,US,US-OR,Milwaukie,no,07OR,,07OR,,,,POINT (-122.62000274658205 45.42179870605468),https://www.openstreetmap.org/edit?editor=id#map=18/45.421799/-122.620003
525,332752,08AL,seaplane_base,Little Lagoon Seaplane Base,30.243717,-87.754678,8.0,,US,US-AL,Gulf Shores,no,08AL,,08AL,,,,POINT (-87.754678 30.243717),https://www.openstreetmap.org/edit?editor=id#map=18/30.243717/-87.754678
526,523547,08AN,small_airport,Base Camp Airstrip,61.704295,-149.212506,892.0,,US,US-AK,"Palmer,",no,08AN,,08AN,,,,POINT (-149.212506 61.70429499999999),https://www.openstreetmap.org/edit?editor=id#map=18/61.704295/-149.212506
531,6968,08CL,small_airport,Kistler Ranch Airport,37.858272,-120.552079,1025.0,,US,US-CA,Jamestown,no,08CL,,08CL,,,,POINT (-120.552079 37.85827199999999),https://www.openstreetmap.org/edit?editor=id#map=18/37.858272/-120.552079
552,6986,08MA,small_airport,Wormid Airport,42.29399871826172,-71.49620056152344,360.0,,US,US-MA,Southborough,no,08MA,,08MA,,,,POINT (-71.49620056152344 42.29399871826172),https://www.openstreetmap.org/edit?editor=id#map=18/42.293999/-71.496201
567,7000,08NY,small_airport,Md1 Airport,41.36809921264648,-74.50559997558594,650.0,,US,US-NY,Middletown,no,08NY,,08NY,,,,POINT (-74.50559997558594 41.368099212646484),https://www.openstreetmap.org/edit?editor=id#map=18/41.368099/-74.505600
568,7001,08OH,small_airport,Kenley Airport,41.29169845581055,-80.5636978149414,1230.0,,US,US-OH,Hartford,no,08OH,,08OH,,,,POINT (-80.5636978149414 41.29169845581055),https://www.openstreetmap.org/edit?editor=id#map=18/41.291698/-80.563698
570,327859,08OL,small_airport,Broken B Airport,35.408087,-98.605477,1518.0,,US,US-OK,Hydro,no,08OL,,08OL,,,,POINT (-98.60547699999998 35.408087),https://www.openstreetmap.org/edit?editor=id#map=18/35.408087/-98.605477
571,7003,08OR,small_airport,Saxon Sycan Airport,42.838,-121.11509,4990.0,,US,US-OR,Summer Lake,no,08OR,,08OR,,,,POINT (-121.11509 42.838),https://www.openstreetmap.org/edit?editor=id#map=18/42.838000/-121.115090
580,343404,08TT,small_airport,LZ Tango Charlie Airport,30.308803,-99.022228,2054.0,,US,US-TX,Fredericksburg,no,08TT,,08TT,,,,POINT (-99.022228 30.308803000000005),https://www.openstreetmap.org/edit?editor=id#map=18/30.308803/-99.022228
583,545821,08UT,small_airport,Pinelodge Runway,38.335017,-109.135176,7175.0,,US,US-UT,La Sal,no,08UT,,08UT,,,,POINT (-109.135176 38.33501700000001),https://www.openstreetmap.org/edit?editor=id#map=18/38.335017/-109.135176
587,322194,08XA,small_airport,Knolle Ranch Airport,30.479253,-96.504031,280.0,,US,US-TX,Snook,no,08XA,,08XA,,,,POINT (-96.50403099999998 30.479252999999996),https://www.openstreetmap.org/edit?editor=id#map=18/30.479253/-96.504031
601,7024,09GA,small_airport,Sunbelt Strip,31.120995,-83.67063,230.0,,US,US-GA,Moultrie,no,09GA,,09GA,,,,POINT (-83.67063 31.120994999999994),https://www.openstreetmap.org/edit?editor=id#map=18/31.120995/-83.670630
605,7028,09II,small_airport,Gibbons Field,38.44729995727539,-86.44499969482422,880.0,,US,US-IN,Valeene,no,09II,,09II,,,,POINT (-86.44499969482422 38.44729995727538),https://www.openstreetmap.org/edit?editor=id#map=18/38.447300/-86.445000
620,523550,09MT,small_airport,Paint Creek Ranch Airport,45.909346,-113.763183,5060.0,,US,US-MT,Sula,no,09MT,,09MT,,,,POINT (-113.763183 45.90934599999999),https://www.openstreetmap.org/edit?editor=id#map=18/45.909346/-113.763183
627,7047,09OK,small_airport,Ragtime Aerodrome,36.35449981689453,-95.86389923095705,700.0,,US,US-OK,Collinsville,no,09OK,,09OK,,,,POINT (-95.86389923095703 36.35449981689453),https://www.openstreetmap.org/edit?editor=id#map=18/36.354500/-95.863899
637,7056,09VA,small_airport,Alum Ridge STOLport,36.97650146484375,-80.493896484375,2375.0,,US,US-VA,Floyd,no,09VA,,09VA,,,,POINT (-80.49389648437499 36.97650146484376),https://www.openstreetmap.org/edit?editor=id#map=18/36.976501/-80.493896
645,325323,0AA7,small_airport,Kalifornsky Meadows Airport,60.491537,-151.235253,65.0,,US,US-AK,Kenai,no,0AA7,,0AA7,,,Kenai Airpark,POINT (-151.23525300000003 60.49153699999999),https://www.openstreetmap.org/edit?editor=id#map=18/60.491537/-151.235253
653,7069,0AK7,small_airport,Bradley Lake Hydroelectric Project Airstrip,59.776005,-150.963285,18.0,,US,US-AK,Homer,no,0AK7,,0AK7,,,,POINT (-150.96328499999998 59.776005),https://www.openstreetmap.org/edit?editor=id#map=18/59.776005/-150.963285
657,7073,0AL1,small_airport,Resort Airport,30.44389915466309,-87.65689849853516,97.0,,US,US-AL,Foley,no,0AL1,,0AL1,,,,POINT (-87.65689849853514 30.44389915466309),https://www.openstreetmap.org/edit?editor=id#map=18/30.443899/-87.656898
665,7081,0AL9,small_airport,Wilson Creek Airport,34.850546,-87.633513,590.0,,US,US-AL,Florence,no,0AL9,,0AL9,,,,POINT (-87.633513 34.850545999999994),https://www.openstreetmap.org/edit?editor=id#map=18/34.850546/-87.633513
668,7084,0AR2,small_airport,Mission Field-Marotti Memorial Airport,35.18853,-90.30359,217.0,,US,US-AR,Crawfordsville,no,0AR2,,0AR2,,,,POINT (-90.30358999999999 35.18853000000001),https://www.openstreetmap.org/edit?editor=id#map=18/35.188530/-90.303590
703,7119,0CD2,small_airport,Foxx Valley Airport,38.652500152600005,-104.23400116,5800.0,,US,US-CO,Yoder,no,0CD2,,0CD2,,,,POINT (-104.23400115999999 38.6525001526),https://www.openstreetmap.org/edit?editor=id#map=18/38.652500/-104.234001
722,324643,0CN2,small_airport,Sutter Butte Dusters Airport,39.228622,-121.688265,67.0,,US,US-CA,Live Oak,no,0CN2,,0CN2,,,,POINT (-121.68826499999997 39.228621999999994),https://www.openstreetmap.org/edit?editor=id#map=18/39.228622/-121.688265
724,7138,0CO1,small_airport,Dave's Airport,40.0332984924,-105.124000549,5170.0,,US,US-CO,Louisville,no,0CO1,,0CO1,,,,POINT (-105.124000549 40.03329849239999),https://www.openstreetmap.org/edit?editor=id#map=18/40.033298/-105.124001
729,7143,0CO6,small_airport,Flying M & M Ranch Airport,38.2193984985,-108.212997437,8000.0,,US,US-CO,Norwood,no,0CO6,,0CO6,,,,POINT (-108.21299743699998 38.2193984985),https://www.openstreetmap.org/edit?editor=id#map=18/38.219398/-108.212997
751,320961,0FA5,seaplane_base,Briley Farm Seaplane Base,28.5727778,-81.6286111,66.0,,US,US-FL,Oakland,no,0FA5,,0FA5,,,,POINT (-81.62861109999999 28.5727778),https://www.openstreetmap.org/edit?editor=id#map=18/28.572778/-81.628611
781,7190,0GA8,small_airport,Paso Fino Farm Airport,30.88031,-83.414443,200.0,,US,US-GA,Valdosta,no,0GA8,,0GA8,,,,POINT (-83.414443 30.880310000000012),https://www.openstreetmap.org/edit?editor=id#map=18/30.880310/-83.414443
792,509601,0IA,seaplane_base,Barbee Lake Seaplane Base,41.284675,-85.703814,838.0,,US,US-IN,Warsaw,no,0IA,,0IA,,,,POINT (-85.70381399999998 41.28467499999999),https://www.openstreetmap.org/edit?editor=id#map=18/41.284675/-85.703814
829,352229,0IL7,small_airport,Davis Restricted Landing Area,39.782917,-88.546708,682.0,,US,US-IL,Hammond,no,0IL7,,0IL7,,,,POINT (-88.546708 39.782917),https://www.openstreetmap.org/edit?editor=id#map=18/39.782917/-88.546708
855,354111,0KS5,small_airport,Oasis Aerodrome,38.450666,-98.797646,1914.0,,US,US-KS,Great Bend,no,0KS5,,0KS5,,,,POINT (-98.79764599999999 38.450666),https://www.openstreetmap.org/edit?editor=id#map=18/38.450666/-98.797646
857,7257,0KS7,small_airport,Mono Aircraft Airport,37.69279861450195,-97.88639831542967,1450.0,,US,US-KS,Cheney,no,0KS7,,0KS7,,,,POINT (-97.88639831542966 37.692798614501946),https://www.openstreetmap.org/edit?editor=id#map=18/37.692799/-97.886398
864,7264,0KY4,small_airport,Cambron Field,37.56439971923828,-87.08190155029297,427.0,,US,US-KY,Owensboro,no,0KY4,,0KY4,,,,POINT (-87.08190155029297 37.56439971923828),https://www.openstreetmap.org/edit?editor=id#map=18/37.564400/-87.081902
870,7270,0L4,small_airport,Lida Junction Airport,37.485801696777344,-117.19100189208984,4684.0,,US,US-NV,Goldfield,no,0L4,,0L4,,https://en.wikipedia.org/wiki/Lida_Junction_Airport,,POINT (-117.19100189208984 37.48580169677734),https://www.openstreetmap.org/edit?editor=id#map=18/37.485802/-117.191002
885,7285,0LL2,small_airport,Murk's Strip,40.738899231,-90.3806991577,700.0,,US,US-IL,St. Augustine,no,0LL2,,0LL2,,,,POINT (-90.38069915769998 40.73889923099999),https://www.openstreetmap.org/edit?editor=id#map=18/40.738899/-90.380699
897,7298,0LS6,small_airport,Dufour Airport,30.787700653076172,-92.05039978027344,42.0,,US,US-LA,Morrow,no,0LS6,,0LS6,,,,POINT (-92.05039978027344 30.78770065307617),https://www.openstreetmap.org/edit?editor=id#map=18/30.787701/-92.050400
899,7300,0LS8,small_airport,Lonesome Dove Airfield,30.28580093383789,-92.94129943847656,34.0,,US,US-LA,Woodlawn,no,0LS8,,0LS8,,,,POINT (-92.94129943847655 30.28580093383789),https://www.openstreetmap.org/edit?editor=id#map=18/30.285801/-92.941299
